coadd_object_id,ra,dec,flags_g,mag_auto_g_dered,mag_auto_r_dered,mag_auto_i_dered,magerr_auto_g,magerr_auto_r,magerr_auto_i
1083296794,9.309009,-33.452983,0,26.68515396118164,24.912195205688477,25.66825294494629,1.006115198135376,0.26789167523384094,0.9369186162948608
1083296714,9.313889,-33.452107,0,24.531904220581055,24.600318908691406,24.801044464111328,0.16383306682109833,0.2401982545852661,0.5035584568977356
1083296621,9.265028,-33.450979,0,23.401567459106445,23.148433685302734,23.48362922668457,0.07191239297389984,0.07972415536642075,0.18523524701595306
1083296694,9.272759,-33.451823,0,25.469350814819336,25.02033233642578,24.506221771240234,0.26187536120414734,0.23834893107414246,0.2586168944835663
1083296608,9.288084,-33.450684,0,24.900379180908203,25.176145553588867,25.67109489440918,0.1965353786945343,0.32149839401245117,0.8834777474403381
1083295910,9.279419,-33.442576,0,25.2281436920166,25.400737762451172,25.197538375854492,0.23952113091945648,0.3833202123641968,0.5220940709114075
1083295249,9.263411,-33.435892,0,26.154638290405273,24.979949951171875,25.41850471496582,0.6640423536300659,0.30533310770988464,0.8048802018165588
1083295077,9.275787,-33.434177,0,27.15255355834961,26.143341064453125,25.4031925201416,0.9607388377189636,0.5158191919326782,0.4588906764984131
1083295303,9.281559,-33.436407,0,25.187891006469727,24.834245681762695,24.619022369384766,0.25276538729667664,0.24862779676914215,0.35831567645072937
1083294941,9.280512,-33.432575,0,25.423831939697266,24.768573760986328,24.783342361450195,0.3946988582611084,0.2942691445350647,0.514817476272583
1083296414,9.294591,-33.448333,0,25.288433074951172,24.77166175842285,25.387752532958984,0.3310815095901489,0.30549493432044983,0.9397919178009033
1083296268,9.30031,-33.446435,0,24.763656616210938,25.367910385131836,24.45975112915039,0.22541311383247375,0.5412771701812744,0.40895941853523254
1083296118,9.289886,-33.444712,3,24.22792625427246,24.067035675048828,23.686748504638672,0.151363804936409,0.17312107980251312,0.20978814363479614
1083295923,9.292248,-33.442666,0,28.1665096282959,26.17836570739746,25.291179656982422,2.9421398639678955,0.6025578379631042,0.46418848633766174
1083295803,9.292559,-33.441523,0,25.310762405395508,23.841156005859375,22.644548416137695,0.33786165714263916,0.11115949600934982,0.06649992614984512
1083296019,9.305197,-33.443666,0,25.010190963745117,24.09941291809082,23.90077781677246,0.3012663722038269,0.1740172952413559,0.24662716686725616
1083295962,9.306945,-33.443103,0,99.0,99.0,25.169719696044922,99.0,99.0,0.4135226607322693
1083295499,9.295132,-33.438387,0,25.33881378173828,24.607776641845703,24.530794143676758,0.24950674176216125,0.16639569401741028,0.28320789337158203
1083295412,9.302512,-33.437508,0,25.734195709228516,25.387664794921875,25.713716506958008,0.2578265964984894,0.254236102104187,0.6035860180854797
1083294896,9.315704,-33.43217,0,25.57012176513672,25.464494705200195,26.382966995239258,0.22431796789169312,0.276286244392395,1.1302037239074707
