source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
5003136523267088000,14.976399888336804,-34.192132232248895,15.799913,16.236801,15.201299
5003133564032774784,14.981178541334948,-34.19507384205963,20.806082,19.995558,18.525887
5003133564032776192,14.983328756166804,-34.18804391008259,18.334703,18.585596,17.932098
5003136523267087872,14.980368240535535,-34.18775721779188,17.015768,17.279398,16.594845
5003136523266103168,14.981596561596657,-34.185426341506385,21.145567,21.839266,20.14579
5003133873270421760,15.006562026029384,-34.18762515293491,18.76454,19.24743,18.176998
5003139650003280128,15.073480816092994,-34.1759571098814,17.703648,17.9811,17.290905
5003138859729298560,15.10931620827314,-34.189056471408016,16.799551,17.51636,15.984406
5003138786713164032,15.140412331423718,-34.17847262447354,20.132196,20.877401,19.196514
5003127452296197248,15.224293640631636,-34.16367057217022,17.13322,17.75678,16.353462
5003128723605292672,15.229328243896763,-34.16118704649557,20.534433,21.089098,19.501572
5003128723605322240,15.239928318614586,-34.15683503704518,20.940176,21.530638,20.03314
5003187203881120896,14.655005906833367,-34.109390419061654,15.965221,16.843708,15.039536
5003188024218880128,14.629928177275097,-34.088443211472786,20.064234,21.268536,18.849424
5003187238241300224,14.662369274919955,-34.088814439018705,21.411629,19.141867,18.268143
5003187272600597248,14.644191146242177,-34.086710844007975,15.488255,16.161934,14.6760025
5003187272600597120,14.644330661653258,-34.08612302044328,19.161837,20.058846,17.821259
5003183763611136128,14.745098583565763,-34.151662872745064,20.203604,21.081614,19.067955
5003183763611136640,14.745028030035067,-34.1478814048236,20.15098,,
5003183767905698560,14.745182220181707,-34.14766685528024,18.217192,18.446764,17.524212
5003183802267024256,14.758462394929825,-34.144762119659404,16.518675,17.083881,15.82164
5003136175372895616,14.832485099263954,-34.16994043368325,19.76195,20.167221,19.187841
5003136214029385984,14.849923750714153,-34.16733096946507,17.164745,17.561237,16.514175
5003182771474873856,14.789854764852326,-34.16459177962901,17.114027,18.331661,16.023771
5003183149432433024,14.800413806426121,-34.161398325627495,21.446182,19.996962,18.349756
5003183149430971648,14.806252321299588,-34.16033979137147,21.009163,21.151217,20.419067
5003183183791734400,14.80719780027738,-34.158069436234165,20.764763,18.883833,17.241676
5003183183792111872,14.807221858524255,-34.15767627362965,21.474047,19.661514,17.345995
5003183183791734144,14.81025524954274,-34.153082066256744,16.923946,17.756433,16.036009
5003183115071230592,14.8180481820735,-34.15763024868443,21.099535,21.358938,20.221739
5003183179494988416,14.814045807349316,-34.154689057599,20.276587,21.140314,19.230066
5003183351294276864,14.789138203471278,-34.14016360392388,19.653547,20.090569,19.066133
5003183385654015616,14.793872806534175,-34.13582209625499,18.760386,20.267096,17.57337
5003183385654015360,14.798266733531777,-34.13805364483019,21.75638,20.233685,19.128607
5003136278452114176,14.846025678811062,-34.16085778746352,17.601128,18.175161,16.896692
5003183218151581824,14.829924782190465,-34.142375485813666,21.60778,20.236023,18.49692
5003183248214468480,14.842658839948644,-34.14594914368842,20.391853,20.615824,20.021166
5003183248214471552,14.838232659682358,-34.1392415145883,20.05067,20.362349,19.37785
5003137794576307072,14.873726452959971,-34.13863464881632,21.001759,21.097853,20.200129
5003183939706032000,14.70543092895288,-34.13372073146556,20.795809,20.21477,18.449594
5003183802266011392,14.753988746333377,-34.134803447689706,20.537567,21.119246,19.803389
5003184175927998208,14.764349937369007,-34.12878699815711,17.710064,18.06168,17.206936
5003184072848783488,14.729819735453107,-34.12251171183463,19.288427,20.49683,18.181246
5003184111504668160,14.71073848641468,-34.105312709282835,17.567827,17.891102,17.088825
5003187100801906048,14.708210791693393,-34.1018036184098,16.212305,16.456055,15.803917
